city,seed,backbone,phase,K,eps,kappa,gating,boundary_frac,macroCatMRR,CatMRR,HR20,NDCG20,Coverage,Gini,LT20
ml1m,43,B_blind,kappa,5,0.03,1.0,single,0.2424,0.1450793972642669,0.36956896603633393,0.06598833321330466,0.024930665881402015,0.7392638036809815,0.7113485116897298,0.28755802
ml1m,43,B_blind,kappa,5,0.03,1.5,single,0.2424,0.1434520012929634,0.35453643387181566,0.06555623000236628,0.024684815295850013,0.7512269938650307,0.7037743593766932,0.3091791
ml1m,43,EASE,kappa,5,0.03,0.0,double,0.2424,0.12939490074495386,0.3754534444626602,0.06893760909748728,0.026030772680193826,0.36319018404907977,0.9323181150655631,0.010699699
ml1m,43,EASE,kappa,5,0.03,0.05,double,0.2424,0.1380057607240746,0.3953878560484716,0.07233613514542331,0.02711494120456872,0.4076687116564417,0.928430071076118,0.013367937
ml1m,43,EASE,kappa,5,0.03,0.1,double,0.2424,0.14226222481862622,0.4009920192986007,0.0728951258071928,0.027332062458375626,0.42484662576687116,0.9222719085511557,0.017316021
ml1m,43,EASE,kappa,5,0.03,0.25,double,0.2424,0.1408924606549341,0.3749562401547812,0.07061286638751428,0.026511090980868696,0.4377300613496933,0.9059613393861445,0.034992643
ml1m,43,EASE,kappa,5,0.03,0.5,double,0.2424,0.1382389597198786,0.3501607756879355,0.06584944289550304,0.024842787856054767,0.4325153374233129,0.8945689483285728,0.07259025
ml1m,43,EASE,kappa,5,0.03,1.0,double,0.2424,0.1364550227686661,0.3235268501635067,0.05922728971834416,0.02252726560619732,0.4242331288343558,0.891002383510598,0.12810214
ml1m,43,EASE,kappa,5,0.03,1.5,double,0.2424,0.13432244904750623,0.30227624206328035,0.055713879086547534,0.021272295564569842,0.41932515337423315,0.8923713793919841,0.17125896
ml1m,43,EASE,kappa,5,0.03,0.0,single,0.2424,0.12939490074495386,0.3754534444626602,0.06893760909748728,0.026030772680193826,0.36319018404907977,0.9323181150655631,0.010699699
ml1m,43,EASE,kappa,5,0.03,0.05,single,0.2424,0.13849377633819326,0.3945862121348497,0.07258305126595953,0.02718622409483276,0.40950920245398775,0.9281637380828414,0.013654976
ml1m,43,EASE,kappa,5,0.03,0.1,single,0.2424,0.14333330527542748,0.3984287190453567,0.07275623548939118,0.02733943695034964,0.4269938650306748,0.9215470443692235,0.018142162
